"""","全死因(人)","結 核(人)","悪  性新生物(人)","悪  性新生物_胃(人)","悪  性新生物_結腸(人)","悪  性新生物_ 肝及び 肝内胆管(人)","悪  性新生物_膵(人)","悪  性新生物_気管(支)、肺(人)","悪  性新生物_子宮(人)","糖尿病(人)","高血圧性疾 患(人)","心疾患(人)","心疾患_急性心筋梗塞(人)","心疾患_他ﾉ虚血性心疾患(人)","心疾患_心不全(人)","脳血管疾  患(人)","脳血管疾  患_くも膜下出血(人)","脳血管疾  患_脳内出  血(人)","脳血管疾  患_脳梗塞(人)","大動脈瘤及び解離(人)","肺 炎(人)","慢性閉塞性肺疾患(人)","喘 息(人)","肝疾患(人)","腎不全(人)","老 衰(人)","不慮の事  故(人)","交通事  故(人)","自 殺(人)","その他の死因(人)"
"平成 2年(1990年)","9281.0","37.0","2392.0","562.0","…","…","…","438.0","42.0","98.0","81.0","2011.0","…","…","1305.0","1418.0","…","…","803.0","…","571.0","…","…","…","…","…","336.0","137.0","213.0","2124.0"
"平成 7年(1995年)","10064.0","44.0","2731.0","527.0","171.0","394.0","178.0","506.0","46.0","162.0","78.0","1663.0","598.0","275.0","498.0","1590.0","91.0","291.0","1054.0","63.0","813.0","145.0","67.0","184.0","155.0","353.0","447.0","158.0","228.0","1341.0"
"平成12年(2000年)","10225.0","29.0","3019.0","583.0","232.0","514.0","207.0","595.0","60.0","110.0","75.0","1706.0","503.0","282.0","648.0","1288.0","104.0","283.0","855.0","78.0","895.0","139.0","42.0","166.0","195.0","387.0","437.0","133.0","276.0","1383.0"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"平成15年(2003年)","10404.0","16.0","3071.0","471.0","226.0","461.0","224.0","622.0","40.0","143.0","40.0","1778.0","557.0","287.0","676.0","1167.0","96.0","280.0","751.0","80.0","933.0","144.0","31.0","139.0","231.0","449.0","361.0","99.0","271.0","1550.0"
"平成16年(2004年)","10600.0","27.0","3235.0","533.0","264.0","436.0","236.0","615.0","63.0","105.0","50.0","1719.0","471.0","326.0","638.0","1144.0","103.0","226.0","768.0","78.0","996.0","171.0","30.0","149.0","214.0","380.0","408.0","105.0","265.0","1629.0"
"平成17年(2005年)","11251.0","32.0","3264.0","546.0","254.0","411.0","240.0","699.0","52.0","126.0","54.0","1996.0","…","…","…","1183.0","…","…","…","117.0","1079.0","148.0","28.0","150.0","240.0","404.0","434.0","…","267.0","1729.0"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"平成18年(2006年)","11031.0","23.0","3270.0","502.0","254.0","385.0","266.0","669.0","56.0","109.0","47.0","1870.0","…","…","…","1121.0","…","…","…","104.0","1047.0","189.0","25.0","165.0","205.0","409.0","422.0","…","254.0","1771.0"
"平成19年(2007年)","11256.0","16.0","3384.0","516.0","248.0","418.0","215.0","732.0","53.0","105.0","54.0","1876.0","…","…","…","1109.0","…","…","…","103.0","1137.0","175.0","26.0","156.0","223.0","430.0","424.0","…","258.0","1780.0"
"平成20年(2008年)","11679.0","28.0","3234.0","515.0","259.0","362.0","266.0","684.0","34.0","131.0","51.0","1962.0","…","…","…","1140.0","…","…","…","121.0","1229.0","202.0","25.0","166.0","270.0","539.0","406.0","…","293.0","1882.0"
"平成21年(2009年)","11736.0","19.0","3385.0","498.0","241.0","393.0","251.0","729.0","58.0","148.0","53.0","1985.0","…","…","…","1059.0","…","…","…","125.0","1159.0","188.0","25.0","164.0","246.0","555.0","404.0","…","258.0","1963.0"
"平成22年(2010年)","12049.0","29.0","3440.0","515.0","288.0","370.0","255.0","742.0","51.0","128.0","49.0","2019.0","…","…","…","1060.0","…","…","…","136.0","1274.0","194.0","21.0","138.0","259.0","638.0","391.0","…","249.0","2024.0"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"平成23年(2011年)","12310.0","36.0","3457.0","468.0","297.0","364.0","276.0","728.0","62.0","134.0","37.0","2140.0","…","…","…","996.0","…","…","…","139.0","1222.0","208.0","35.0","176.0","285.0","709.0","445.0","…","236.0","2055.0"
"平成24年(2012年)","12435.0","32.0","3394.0","471.0","285.0","362.0","306.0","726.0","41.0","115.0","47.0","2206.0","…","…","…","1025.0","…","…","…","153.0","1319.0","211.0","14.0","142.0","284.0","740.0","398.0","…","180.0","2175.0"
"平成25年(2013年)","12773.0","23.0","3451.0","488.0","309.0","309.0","295.0","755.0","47.0","114.0","55.0","2304.0","…","…","…","1037.0","…","…","…","145.0","1356.0","210.0","16.0","156.0","287.0","818.0","381.0","…","208.0","2212.0"
